istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
1136,1141,3.568849254478005,3.5845572177459544,8.803614250513071e-08,2.4992709230555466e-09,1.3745493632200123e-10,0.01570796326794932,2000.0,58.29446149485469,-85.13564598242574,1,17.0,,,-2.3093613470831356,,,102.74459816492167,,
1353,1359,4.25057486030699,4.269424416228529,4.407162147421637e-07,2.2418392580045275e-09,8.922698135904739e-10,0.018849555921538474,2000.0,58.29446149485469,-85.13564598242574,1,17.0,,,-2.3093613470831356,,,102.74459816492167,,
1536,1544,4.825486315913922,4.850619057142641,5.44309886977298e-07,2.5295189953965797e-09,8.772862436501327e-10,0.025132741228718558,2000.0,58.29446149485469,-85.13564598242574,1,17.0,,,-2.3093613470831356,,,102.74459816492167,,
1552,1564,4.875751798371359,4.913450910214436,1.0077942576939228e-06,3.0787593648178476e-09,9.86982939821246e-10,0.03769911184307695,2000.0,58.29446149485469,-85.13564598242574,1,17.0,,,-2.3093613470831356,,,102.74459816492167,,
1674,1681,5.259026102109314,5.281017250684442,5.837631107195727e-07,2.5637972237927983e-09,8.998588540976016e-10,0.021991148575128072,2000.0,58.29446149485469,-85.13564598242574,1,17.0,,,-2.3093613470831356,,,102.74459816492167,,
1699,1709,5.337565918449059,5.3689818449849565,8.846355584433596e-07,2.4828828867454106e-09,1.529528059762697e-09,0.031415926535897754,2000.0,58.29446149485469,-85.13564598242574,1,17.0,,,-2.3093613470831356,,,102.74459816492167,,
1771,1783,5.563760589507524,5.601459701350602,6.671459348416114e-06,1.964172259343545e-09,1.6427180282718723e-08,0.03769911184307784,2000.0,58.29446149485469,-85.13564598242574,1,17.0,,,-2.3093613470831356,,,102.74459816492167,,
1830,1837,5.749114556069322,5.771105704644451,3.786614223217348e-07,2.2788163187284066e-09,7.519380673670639e-10,0.02199114857512896,2000.0,58.29446149485469,-85.13564598242574,1,17.0,,,-2.3093613470831356,,,102.74459816492167,,
1906,1914,5.987875597742146,6.013008338970864,2.32243062248581e-07,2.667256004931431e-09,3.752811394974742e-10,0.02513274122871767,2000.0,58.29446149485469,-85.13564598242574,1,17.0,,,-2.3093613470831356,,,102.74459816492167,,
1992,1996,6.258052565950869,6.270618936565228,9.036360329248998e-08,1.939351717446289e-09,2.2070434368970382e-10,0.012566370614359279,2000.0,58.29446149485469,-85.13564598242574,1,17.0,,,-2.3093613470831356,,,102.74459816492167,,
istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
